cluster_id	group
0	mua
1	good
3	good
4	good
7	good
8	good
9	good
10	good
11	good
14	good
15	mua
16	mua
17	mua
18	good
19	mua
20	good
21	good
22	mua
23	good
24	good
25	mua
26	mua
27	good
28	good
29	mua
30	mua
31	good
32	mua
34	good
39	good
43	mua
44	mua
45	good
46	mua
47	mua
48	mua
49	good
52	good
53	good
54	mua
55	good
56	good
57	mua
58	mua
59	good
60	mua
61	mua
62	mua
63	mua
64	mua
65	good
68	mua
73	mua
74	mua
76	mua
78	mua
85	good
88	mua
89	mua
90	mua
94	mua
95	mua
96	mua
98	mua
99	mua
100	good
101	good
103	good
104	good
105	good
106	mua
107	good
108	good
109	mua
110	mua
111	mua
112	good
117	good
118	good
119	good
120	good
121	good
123	good
125	good
130	good
133	mua
134	mua
136	mua
137	good
138	good
139	good
140	good
141	good
143	good
144	good
145	good
148	good
150	good
153	good
158	good
161	mua
162	good
165	good
167	good
169	mua
182	good
183	mua
186	good
187	good
189	mua
190	mua
191	good
199	good
206	mua
207	mua
214	good
218	good
219	mua
220	mua
222	mua
225	good
227	good
228	mua
229	good
232	good
233	good
235	mua
236	mua
237	good
239	good
240	mua
241	good
242	good
243	mua
245	mua
247	good
248	good
249	good
250	good
251	good
252	mua
254	good
255	mua
260	good
262	good
264	mua
265	good
266	mua
267	good
268	good
269	good
270	mua
272	mua
273	mua
274	mua
275	good
276	mua
278	mua
279	mua
280	mua
281	good
282	good
286	good
287	good
288	mua
290	good
291	good
292	good
294	mua
298	good
300	mua
302	good
304	mua
305	mua
307	mua
309	good
314	mua
316	good
317	mua
318	mua
319	mua
320	mua
321	good
323	good
324	good
326	good
327	good
328	mua
329	good
334	mua
341	good
348	good
351	good
360	mua
361	mua
366	mua
369	mua
371	mua
374	mua
375	mua
376	mua
377	good
382	mua
385	mua
388	mua
389	mua
391	mua
393	mua
394	mua
395	mua
396	good
399	mua
400	good
401	good
402	mua
404	mua
405	mua
406	mua
407	mua
408	mua
409	mua
410	mua
411	mua
412	mua
413	mua
414	good
415	good
426	mua
428	good
430	mua
434	mua
437	mua
439	mua
440	good
447	mua
449	mua
451	mua
453	mua
454	mua
455	good
456	good
458	good
461	mua
464	good
467	good
468	good
469	mua
471	mua
472	good
473	good
475	good
478	mua
480	good
482	good
488	good
491	mua
492	good
494	mua
496	mua
501	mua
502	good
503	good
504	mua
505	mua
510	mua
512	good
513	mua
514	mua
523	good
524	good
529	good
531	mua
535	good
537	good
538	mua
539	mua
544	mua
545	good
546	mua
548	good
549	mua
551	mua
552	mua
553	mua
554	mua
558	mua
559	good
560	good
561	mua
562	mua
563	mua
567	good
568	good
569	mua
570	good
571	mua
572	good
573	good
574	good
575	good
576	mua
579	good
580	good
581	mua
582	mua
583	mua
584	mua
585	mua
587	mua
588	mua
589	good
590	mua
591	good
593	good
595	mua
596	mua
599	mua
600	mua
603	mua
606	mua
607	mua
608	mua
609	mua
610	good
612	good
616	mua
617	mua
618	mua
619	mua
620	good
621	mua
622	mua
623	mua
624	mua
625	mua
626	mua
627	mua
628	mua
631	mua
632	mua
633	mua
634	mua
635	good
636	mua
637	mua
639	mua
640	mua
641	mua
643	good
645	mua
646	mua
648	good
649	mua
650	mua
651	mua
652	mua
654	mua
657	good
659	mua
660	mua
666	mua
669	good
671	mua
672	good
679	mua
680	good
681	mua
682	mua
684	mua
685	mua
686	mua
687	mua
688	mua
691	mua
692	mua
693	mua
