cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
0	3202.20000000	100.00000000	mua	62.75246429	3	40.00000000	0.05503643	mua	139	0
1	3042.20000000	100.00000000	good	68.82914734	3	40.00000000	5.53808996	good	13987	0
3	4016.30000000	100.00000000	mua	101.51584625	1	20.00000000	3.41700982	good	8630	0
4	3952.10000000	100.00000000	mua	104.21754456	1	20.00000000	2.92484954	good	7387	0
7	3129.50000000	100.00000000	mua	111.20319366	5	60.00000000	2.11157745	good	5333	0
8	4079.10000000	100.00000000	mua	107.24789429	0	20.00000000	3.46610706	good	8754	0
9	3832.90000000	100.00000000	mua	88.18682098	2	40.00000000	0.06097561	good	154	0
10	3979.60000000	100.00000000	good	107.34001923	3	40.00000000	1.28207159	good	3238	0
11	5118.70000000	100.00000000	mua	107.22025299	3	40.00000000	0.07245803	good	183	0
14	2196.80000000	100.00000000	good	83.23501587	3	40.00000000	4.35460881	good	10998	0
15	3523.60000000	100.00000000	mua	101.00945282	1	20.00000000	0.23637947	mua	597	0
16	3663.10000000	100.00000000	mua	96.22364044	1	20.00000000	0.07681343	mua	194	0
17	3139.90000000	100.00000000	mua	87.61563110	0	20.00000000	0.04909724	mua	124	0
18	4287.60000000	100.00000000	mua	138.83004761	0	20.00000000	0.73487488	good	1856	0
19	2923.20000000	100.00000000	mua	80.20341492	2	40.00000000	0.08473234	mua	214	0
20	2092.70000000	100.00000000	mua	78.84326935	2	40.00000000	24.30986696	good	61397	0
21	4585.90000000	100.00000000	good	99.56687927	6	80.00000000	2.87891986	good	7271	0
22	3926.80000000	100.00000000	good	96.70838928	3	40.00000000	12.71697814	mua	32118	0
23	3933.80000000	100.00000000	good	97.06806946	6	80.00000000	3.49857460	good	8836	0
24	1637.70000000	100.00000000	mua	56.61522293	9	100.00000000	55.27161863	good	139594	0
25	2683.50000000	100.00000000	mua	55.75585556	9	100.00000000	0.04474184	mua	113	0
26	2643.50000000	100.00000000	mua	63.52850342	9	100.00000000	0.06255939	mua	158	0
27	2639.40000000	100.00000000	mua	65.08500671	12	140.00000000	2.64610390	good	6683	0
28	2583.50000000	100.00000000	mua	72.43961334	8	100.00000000	3.12401014	good	7890	0
29	2376.90000000	100.00000000	mua	57.54688263	3	40.00000000	0.05028508	mua	127	0
30	2899.80000000	100.00000000	mua	69.84906769	9	100.00000000	0.07047830	mua	178	0
31	2715.50000000	100.00000000	good	79.91925812	9	100.00000000	2.97077922	good	7503	0
32	3607.80000000	100.00000000	mua	75.72296143	12	140.00000000	0.05186886	mua	131	0
34	2534.20000000	100.00000000	mua	78.34191132	13	140.00000000	2.60057016	good	6568	0
39	2268.60000000	100.00000000	mua	64.30444336	11	120.00000000	1.14982578	good	2904	0
43	2757.60000000	100.00000000	good	70.26388550	10	120.00000000	1.68435223	mua	4254	0
44	2603.60000000	100.00000000	mua	71.53495789	10	120.00000000	0.08710801	mua	220	0
45	1894.90000000	100.00000000	good	63.54109955	7	80.00000000	0.41574279	good	1050	0
46	1974.30000000	100.00000000	mua	57.93363190	10	120.00000000	0.18688628	mua	472	0
47	3035.40000000	100.00000000	mua	74.07793427	6	80.00000000	0.08829585	mua	223	0
48	2871.60000000	100.00000000	mua	73.78588104	10	120.00000000	0.07641748	mua	193	0
49	2140.40000000	100.00000000	mua	89.64175415	10	120.00000000	7.79775103	good	19694	0
52	1704.00000000	100.00000000	mua	67.64270020	8	100.00000000	0.39079823	good	987	0
53	1845.60000000	100.00000000	mua	71.37158203	11	120.00000000	0.21143491	good	534	0
